[0807/133235.962:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x44fc00bc0000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133235.985:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x44fc00bc0000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/133236.089:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6244001ba200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133236.222:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6244001ba200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133236.334:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6244001ba200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133236.342:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6244001ba200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/145927.938:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/145928.029:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x756c00acf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/145928.266:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x756c00acf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/145928.268:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/145928.346:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x756c00acf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/145928.346:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/145928.371:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x756c00acf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/145928.373:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6cc001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150201.884:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f44001cfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150202.092:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f44001cfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150202.149:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f44001cfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150202.180:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f44001cfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150202.681:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4494001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150202.806:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4494001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
